sampleKEY, date, time, timeElapsed, timeUnit, actual, blank, temp
29,,14:02:00,3,hour,1.013,,
29,,17:02:00,6,hour,1.0125,,21
29,,11:02:00,24,hour,1.011,,21
30,,10:07:00,40,sec,1.027,2.032,22
30,,10:09:00,2,min,1.026,2.031,
30,,10:12:00,5,min,1.025,2.03,21.9
30,,10:22:00,15,min,1.021,2.026,
30,,10:37:00,30,min,1.02,2.025,
30,,11:07:00,60,min,1.019,2.024,21.5
30,,0:00:11,90,min,1.018,2.023,
30,,12:07:00,2,hour,1.017,2.022,21
30,,13:07:00,3,hour,1.016,2.021,
30,,16:07:00,6,hour,1.016,2.021,20.9
30,,10:07:00,24,hour,1.015,2.02,20.9
37,,0:00:00,40,sec,1.012,,
38,7/31/2016,10:13:00,40,sec,1.012,,
38,7/31/2016,10:15:00,2,min,1.011,,
38,7/31/2016,10:18:00,5,min,1.0106,1.003,23
38,7/31/2016,10:28:00,15,min,1.0104,,
38,7/31/2016,10:43:00,30,min,1.0102,,
38,7/31/2016,11:13:00,60,min,1.0102,1.0028,22.3
38,7/31/2016,12:13:00,2,hour,1.01,1.0026,22
38,7/31/2016,6:13:00,6,hour,1.0095,1.003,21
38,8/1/2016,10:13:00,24,hour,1.0075,1.003,20
39,7/31/2016,0:00:00,40,sec,1.012,1.0021,23
39,7/31/2016,0:00:00,40,sec,1.0115,,
39,7/31/2016,9:22:00,40,sec,1.0116,,
39,7/31/2016,9:24:00,2,min,1.0106,,
39,7/31/2016,9:27:00,5,min,1.01,1.0025,23
39,7/31/2016,9:37:00,15,min,1.009,,
39,7/31/2016,9:52:00,30,min,1.0081,,
39,7/31/2016,10:22:00,60,min,1.008,1.0022,22
39,7/31/2016,11:22:00,2,hour,1.0072,1.003,21.6
39,7/31/2016,15:22:00,6,hour,1.0067,1.003,21.4
39,8/1/2016,9:22:00,24,hour,1.006,1.003,20
40,7/31/2016,0:00:00,40,sec,1.0062,1.0024,22
40,7/31/2016,0:00:00,40,sec,1.0065,,
40,7/31/2016,9:53:00,40,sec,1.0063,,
40,7/31/2016,9:55:00,2,min,1.0062,,
40,7/31/2016,9:58:00,5,min,1.0058,1.0021,22
40,7/31/2016,10:08:00,15,min,1.0056,,
40,7/31/2016,10:23:00,30,min,1.0055,,
40,7/31/2016,10:53:00,60,min,1.0054,1.003,21.5
40,7/31/2016,11:53:00,2,hour,1.0054,1.0028,21.1
40,7/31/2016,15:53:00,6,hour,1.0052,1.0029,21
40,8/1/2016,9:53:00,24,hour,1.004,1.003,20
41,7/31/2016,0:00:00,40,sec,1.011,1.0023,22
41,7/31/2016,0:00:00,40,sec,1.0096,,
41,7/31/2016,9:36:00,40,sec,1.0095,,
41,7/31/2016,9:38:00,2,min,1.0088,,
41,7/31/2016,9:41:00,5,min,1.0082,1.0024,22
41,7/31/2016,9:51:00,15,min,1.008,,
41,7/31/2016,10:06:00,30,min,1.0076,,
41,7/31/2016,10:36:00,60,min,1.0071,1.0029,22
41,7/31/2016,11:36:00,2,hour,1.0067,1.003,21
41,7/31/2016,15:36:00,6,hour,1.0065,1.0029,21
41,8/1/2016,9:36:00,24,hour,1.0055,1.003,20
42,7/28/2016,0:00:00,40,sec,1.0185,1.0032,22.9
42,7/28/2016,0:00:00,40,sec,1.016,,
42,7/28/2016,11:11:00,40,sec,1.0158,,
42,7/28/2016,11:12:00,2,min,1.015,,
42,7/28/2016,11:15:00,5,min,1.0145,1.0032,22.5
42,7/28/2016,11:25:00,15,min,1.0136,,
42,7/28/2016,11:40:00,30,min,1.0123,,
42,7/28/2016,12:10:00,60,min,1.0121,1.0034,21.7
42,7/28/2016,13:10:00,2,hour,1.011,1.0033,21.5
42,7/28/2016,16:10:00,6,hour,1.011,1.0033,21.5
42,7/29/2016,11:11:00,24,hour,1.0095,1.0033,21.5
43,7/28/2016,0:00:00,40,sec,1.017,1.0032,22.2
43,7/28/2016,0:00:00,40,sec,1.0167,,
43,7/28/2016,10:43:00,40,sec,1.017,,
43,7/28/2016,10:44:00,2,min,1.0158,,
43,7/28/2016,10:47:00,5,min,1.0146,1.0031,21.9
43,7/28/2016,10:57:00,15,min,1.0123,,
43,7/28/2016,11:12:00,30,min,1.012,,
43,7/28/2016,11:42:00,60,min,1.0118,1.0035,21.5
43,7/28/2016,12:42:00,2,hour,1.0111,1.0037,21.4
43,7/28/2016,16:42:00,6,hour,1.0102,1.0038,21.5
43,7/29/2016,10:43:00,24,hour,1.01,1.004,21.2
44,7/28/2016,0:00:00,40,sec,1.0175,1.004,22.5
44,7/28/2016,0:00:00,40,sec,1.0175,,
44,7/28/2016,10:20:00,40,sec,1.0175,,
44,7/28/2016,10:21:00,2,min,1.0163,,
44,7/28/2016,10:24:00,5,min,1.0162,1.004,22
44,7/28/2016,10:34:00,15,min,1.0146,,
44,7/28/2016,10:49:00,30,min,1.014,,
44,7/28/2016,11:19:00,60,min,1.0138,1.0039,21.8
44,7/28/2016,12:19:00,2,hour,1.0133,1.004,21.5
44,7/28/2016,16:19:00,6,hour,1.012,1.004,21.5
44,7/29/2016,10:20:00,24,hour,1.011,1.004,21.4
45,7/28/2016,0:00:00,40,sec,1.0075,1.0032,22.5
45,7/28/2016,0:00:00,40,sec,1.0078,,
45,7/28/2016,10:02:00,40,sec,1.0072,,
45,7/28/2016,10:04:00,2,min,1.0069,,
45,7/28/2016,10:07:00,5,min,1.0066,1.003,22.5
45,7/28/2016,10:17:00,15,min,1.0059,,
45,7/28/2016,10:32:00,30,min,1.0062,,
45,7/28/2016,11:02:00,60,min,1.0061,1.003,22
45,7/28/2016,12:02:00,2,hour,1.0061,1.0034,21.8
45,7/28/2016,16:02:00,6,hour,1.006,1.0032,21.8
45,7/29/2016,10:02:00,24,hour,1.0059,1.0038,21.3
