sampleKEY, date, time, timeElapsed, timeUnit, actual, blank, temp
41,42582,0.65,6,hour,1.0065,1.0029,21
41,42583,0.4,24,hour,1.0055,1.003,20
42,42579,0,40,sec,1.0185,1.0032,22.9
42,42579,0,40,sec,1.016,,
42,42579,0.465972222,40,sec,1.0158,,
42,42579,0.466666667,2,min,1.015,,
42,42579,0.46875,5,min,1.0145,1.0032,22.5
42,42579,0.475694444,15,min,1.0136,,
42,42579,0.486111111,30,min,1.0123,,
42,42579,0.506944444,60,min,1.0121,1.0034,21.7
42,42579,0.548611111,2,hour,1.011,1.0033,21.5
42,42579,0.673611111,6,hour,1.011,1.0033,21.5
42,42580,0.465972222,24,hour,1.0095,1.0033,21.5
43,42579,0,40,sec,1.017,1.0032,22.2
43,42579,0,40,sec,1.0167,,
43,42579,0.446527778,40,sec,1.017,,
43,42579,0.447222222,2,min,1.0158,,
43,42579,0.449305556,5,min,1.0146,1.0031,21.9
43,42579,0.45625,15,min,1.0123,,
43,42579,0.466666667,30,min,1.012,,
43,42579,0.4875,60,min,1.0118,1.0035,21.5
43,42579,0.529166667,2,hour,1.0111,1.0037,21.4
43,42579,0.695833333,6,hour,1.0102,1.0038,21.5
43,42580,0.446527778,24,hour,1.01,1.004,21.2
44,42579,0,40,sec,1.0175,1.004,22.5
44,42579,0,40,sec,1.0175,,
44,42579,0.430555556,40,sec,1.0175,,
44,42579,0.43125,2,min,1.0163,,
44,42579,0.433333333,5,min,1.0162,1.004,22
44,42579,0.440277778,15,min,1.0146,,
44,42579,0.450694444,30,min,1.014,,
44,42579,0.471527778,60,min,1.0138,1.0039,21.8
44,42579,0.513194444,2,hour,1.0133,1.004,21.5
44,42579,0.679861111,6,hour,1.012,1.004,21.5
44,42580,0.430555556,24,hour,1.011,1.004,21.4
45,42579,0,40,sec,1.0075,1.0032,22.5
45,42579,0,40,sec,1.0078,,
45,42579,0.418055556,40,sec,1.0072,,
45,42579,0.419444444,2,min,1.0069,,
45,42579,0.421527778,5,min,1.0066,1.003,22.5
45,42579,0.428472222,15,min,1.0059,,
45,42579,0.438888889,30,min,1.0062,,
45,42579,0.459722222,60,min,1.0061,1.003,22
45,42579,0.501388889,2,hour,1.0061,1.0034,21.8
45,42579,0.668055556,6,hour,1.006,1.0032,21.8
45,42580,0.418055556,24,hour,1.0059,1.0038,21.3
46,,0,40,sec,1.0162,1.003,22
46,,0,40,sec,1.016,,
46,,0.415972222,40,sec,1.0158,,
46,,0.417361111,2,min,1.0151,,
46,,0.419444444,5,min,1.0146,1.003,22
46,,0.426388889,15,min,1.0129,,
46,,0.436805556,30,min,1.0125,,
46,,0.457638889,60,min,1.0121,1.003,21.5
46,,0.499305556,2,hour,1.012,1.0032,21
46,,0.665972222,6,hour,1.0107,1.0033,20.5
46,,0.415972222,24,hour,1.0101,1.0032,20
47,,0,40,sec,1.0135,1.003,21.5
47,,0,40,sec,1.0136,,
47,,0.463194444,40,sec,1.0138,,
47,,0.464583333,2,min,1.0125,,
47,,0.466666667,5,min,1.0119,1.003,21.5
47,,0.473611111,15,min,1.012,,
47,,0.484027778,30,min,1.012,,
47,,0.504861111,60,min,1.0119,1.0035,21
47,,0.046527778,2,hour,1.0115,1.0032,20.5
47,,0.713194444,6,hour,1.0107,1.0033,20.3
47,,0.463194444,4,hour,1.0157,1.0033,20
47,,0.463194444,24,hour,1.0082,1.0033,20
48,,0,40,sec,1.0067,1.003,22
48,,0,40,sec,1.0066,,
48,,0.447916667,40,sec,1.0065,,
48,,0.449305556,2,min,1.0063,,
48,,0.451388889,5,min,1.0062,1.003,22
48,,0.458333333,15,min,1.0059,,
48,,0.46875,30,min,1.0059,,
48,,0.489583333,60,min,1.0059,1.003,21
48,,0.53125,2,hour,1.0059,1.003,20.8
48,,0.697916667,6,hour,1.0056,1.003,20
48,,0.447916667,24,hour,1.0051,1.003,20
49,,0,40,sec,1.0174,1.003,22
49,,0,40,sec,1.0171,,
49,,0.439583333,40,sec,1.0169,,
49,,0.440972222,2,min,1.0152,,
49,,0.443055556,5,min,1.0149,1.003,21
49,,0.45,15,min,1.0137,,
49,,0.460416667,30,min,1.0123,,
49,,0.48125,60,min,1.0118,1.003,21
49,,0.522916667,2,hour,1.0115,1.003,20.8
49,,0.689583333,6,hour,1.0101,1.0035,20
49,,0.439583333,24,hour,1.009,1.0035,20
50,42578,0,40,sec,1.013,1.0019,22.8
50,42578,0,40,sec,1.012,,
50,42578,0.420138889,40,sec,1.0125,,
50,42578,0.420833333,2,min,1.0115,,
50,42578,0.422916667,5,min,1.0013,1.0022,22.9
50,42578,0.429861111,15,min,1.001,,
50,42578,0.440277778,30,min,1.0089,,
50,42578,0.461111111,60,min,1.0083,1.0027,22.5
50,42578,0.502777778,2,hour,1.0082,1.003,22
50,42578,0.669444444,6,hour,1.008,1.0031,21.9
50,42579,0.419444444,24,hour,1.0068,1.0032,21.9
51,42578,0,40,sec,1.0118,1.0028,22.4
51,42578,0,40,sec,1.0112,,
51,42578,0.440277778,40,sec,1.0105,,
51,42578,0.440972222,2,min,1.0103,,
51,42578,0.443055556,5,min,1.01,1.003,22.3
51,42578,0.45,15,min,1.0094,,
51,42578,0.460416667,30,min,1.009,,
51,42578,0.48125,60,min,1.0088,1.0028,22
51,42578,0.522916667,2,hour,1.0085,1.003,21.9
51,42578,0.689583333,6,hour,1.0081,1.0031,21.8
51,42579,0.440277778,24,hour,1.0081,1.0032,21.3
52,42578,0,40,sec,1.013,1.003,22.8
52,42578,0,40,sec,1.012,,
52,42578,0.43125,40,sec,1.012,,
52,42578,0.431944444,2,min,1.01,,
52,42578,0.434027778,5,min,1.0086,1.003,22.5
52,42578,0.440972222,15,min,1.0084,,
52,42578,0.444444444,30,min,1.0081,,
52,42578,0.472222222,60,min,1.0078,1.0033,22.3
52,42578,0.513888889,2,hour,1.0078,1.0032,21.9
