sampleKEY, date, time, timeElapsed, timeUnit, actual, blank, temp
29,,13:02:00,2,hour,1.0140,,21.9
29,,14:02:00,3,hour,1.0130,,
29,,17:02:00,6,hour,1.0125,,21.0
29,,11:02:00,24,hour,1.0110,,21.0
30,,10:07:00,40,sec,1.0270,2.0320,22.0
30,,10:09:00,2,min,1.0260,2.0310,
30,,10:12:00,5,min,1.0250,2.0300,21.9
30,,10:22:00,15,min,1.0210,2.0260,
30,,10:37:00,30,min,1.0200,2.0250,
30,,11:07:00,60,min,1.0190,2.0240,21.5
30,,00:00:11,90,min,1.0180,2.0230,
30,,12:07:00,2,hour,1.0170,2.0220,21.0
30,,13:07:00,3,hour,1.0160,2.0210,
30,,16:07:00,6,hour,1.0160,2.0210,20.9
30,,10:07:00,24,hour,1.0150,2.0200,20.9
37,,00:00:00,40,sec,1.0120,,
38,7/31/16,10:13:00,40,sec,1.0120,,
38,7/31/16,10:15:00,2,min,1.0110,,
38,7/31/16,10:18:00,5,min,1.0106,1.0030,23.0
38,7/31/16,10:28:00,15,min,1.0104,,
38,7/31/16,10:43:00,30,min,1.0102,,
38,7/31/16,11:13:00,60,min,1.0102,1.0028,22.3
38,7/31/16,12:13:00,2,hour,1.0100,1.0026,22.0
38,7/31/16,06:13:00,6,hour,1.0095,1.0030,21.0
38,8/1/16,10:13:00,24,hour,1.0075,1.0030,20.0
39,7/31/16,00:00:00,40,sec,1.0120,1.0021,23.0
39,7/31/16,00:00:00,40,sec,1.0115,,
39,7/31/16,09:22:00,40,sec,1.0116,,
39,7/31/16,09:24:00,2,min,1.0106,,
39,7/31/16,09:27:00,5,min,1.0100,1.0025,23.0
39,7/31/16,09:37:00,15,min,1.0090,,
39,7/31/16,09:52:00,30,min,1.0081,,
39,7/31/16,10:22:00,60,min,1.0080,1.0022,22.0
39,7/31/16,11:22:00,2,hour,1.0072,1.0030,21.6
39,7/31/16,15:22:00,6,hour,1.0067,1.0030,21.4
39,8/1/16,09:22:00,24,hour,1.0060,1.0030,20.0
40,7/31/16,00:00:00,40,sec,1.0062,1.0024,22.0
40,7/31/16,00:00:00,40,sec,1.0065,,
40,7/31/16,09:53:00,40,sec,1.0063,,
40,7/31/16,09:55:00,2,min,1.0062,,
40,7/31/16,09:58:00,5,min,1.0058,1.0021,22.0
40,7/31/16,10:08:00,15,min,1.0056,,
40,7/31/16,10:23:00,30,min,1.0055,,
40,7/31/16,10:53:00,60,min,1.0054,1.0030,21.5
40,7/31/16,11:53:00,2,hour,1.0054,1.0028,21.1
40,7/31/16,15:53:00,6,hour,1.0052,1.0029,21.0
40,8/1/16,09:53:00,24,hour,1.0040,1.0030,20.0
41,7/31/16,00:00:00,40,sec,1.0110,1.0023,22.0
41,7/31/16,00:00:00,40,sec,1.0096,,
41,7/31/16,09:36:00,40,sec,1.0095,,
41,7/31/16,09:38:00,2,min,1.0088,,
41,7/31/16,09:41:00,5,min,1.0082,1.0024,22.0
41,7/31/16,09:51:00,15,min,1.0080,,
41,7/31/16,10:06:00,30,min,1.0076,,
41,7/31/16,10:36:00,60,min,1.0071,1.0029,22.0
41,7/31/16,11:36:00,2,hour,1.0067,1.0030,21.0
41,7/31/16,15:36:00,6,hour,1.0065,1.0029,21.0
41,8/1/16,09:36:00,24,hour,1.0055,1.0030,20.0
42,7/28/16,00:00:00,40,sec,1.0185,1.0032,22.9
42,7/28/16,00:00:00,40,sec,1.0160,,
42,7/28/16,11:11:00,40,sec,1.0158,,
42,7/28/16,11:12:00,2,min,1.0150,,
42,7/28/16,11:15:00,5,min,1.0145,1.0032,22.5
42,7/28/16,11:25:00,15,min,1.0136,,
42,7/28/16,11:40:00,30,min,1.0123,,
42,7/28/16,12:10:00,60,min,1.0121,1.0034,21.7
42,7/28/16,13:10:00,2,hour,1.0110,1.0033,21.5
42,7/28/16,16:10:00,6,hour,1.0110,1.0033,21.5
42,7/29/16,11:11:00,24,hour,1.0095,1.0033,21.5
43,7/28/16,00:00:00,40,sec,1.0170,1.0032,22.2
43,7/28/16,00:00:00,40,sec,1.0167,,
43,7/28/16,10:43:00,40,sec,1.0170,,
43,7/28/16,10:44:00,2,min,1.0158,,
43,7/28/16,10:47:00,5,min,1.0146,1.0031,21.9
43,7/28/16,10:57:00,15,min,1.0123,,
43,7/28/16,11:12:00,30,min,1.0120,,
43,7/28/16,11:42:00,60,min,1.0118,1.0035,21.5
43,7/28/16,12:42:00,2,hour,1.0111,1.0037,21.4
43,7/28/16,16:42:00,6,hour,1.0102,1.0038,21.5
43,7/29/16,10:43:00,24,hour,1.0100,1.0040,21.2
44,7/28/16,00:00:00,40,sec,1.0175,1.0040,22.5
44,7/28/16,00:00:00,40,sec,1.0175,,
44,7/28/16,10:20:00,40,sec,1.0175,,
44,7/28/16,10:21:00,2,min,1.0163,,
44,7/28/16,10:24:00,5,min,1.0162,1.0040,22.0
44,7/28/16,10:34:00,15,min,1.0146,,
44,7/28/16,10:49:00,30,min,1.0140,,
44,7/28/16,11:19:00,60,min,1.0138,1.0039,21.8
44,7/28/16,12:19:00,2,hour,1.0133,1.0040,21.5
44,7/28/16,16:19:00,6,hour,1.0120,1.0040,21.5
44,7/29/16,10:20:00,24,hour,1.0110,1.0040,21.4
45,7/28/16,00:00:00,40,sec,1.0075,1.0032,22.5
45,7/28/16,00:00:00,40,sec,1.0078,,
45,7/28/16,10:02:00,40,sec,1.0072,,
45,7/28/16,10:04:00,2,min,1.0069,,
45,7/28/16,10:07:00,5,min,1.0066,1.0030,22.5
45,7/28/16,10:17:00,15,min,1.0059,,
45,7/28/16,10:32:00,30,min,1.0062,,
45,7/28/16,11:02:00,60,min,1.0061,1.0030,22.0
45,7/28/16,12:02:00,2,hour,1.0061,1.0034,21.8
45,7/28/16,16:02:00,6,hour,1.0060,1.0032,21.8
45,7/29/16,10:02:00,24,hour,1.0059,1.0038,21.3
46,,00:00:00,40,sec,1.0162,1.0030,22.0
46,,00:00:00,40,sec,1.0160,,
46,,09:59:00,40,sec,1.0158,,
46,,10:01:00,2,min,1.0151,,
46,,10:04:00,5,min,1.0146,1.0030,22.0
46,,10:14:00,15,min,1.0129,,
46,,10:29:00,30,min,1.0125,,
46,,10:59:00,60,min,1.0121,1.0030,21.5
46,,11:59:00,2,hour,1.0120,1.0032,21.0
46,,15:59:00,6,hour,1.0107,1.0033,20.5
46,,09:59:00,24,hour,1.0101,1.0032,20.0
47,,00:00:00,40,sec,1.0135,1.0030,21.5
47,,00:00:00,40,sec,1.0136,,
47,,11:07:00,40,sec,1.0138,,
47,,11:09:00,2,min,1.0125,,
47,,11:12:00,5,min,1.0119,1.0030,21.5
47,,11:22:00,15,min,1.0120,,
47,,11:37:00,30,min,1.0120,,
47,,12:07:00,60,min,1.0119,1.0035,21.0
47,,01:07:00,2,hour,1.0115,1.0032,20.5
47,,17:07:00,6,hour,1.0107,1.0033,20.3
47,,11:07:00,4,hour,1.0157,1.0033,20.0
47,,11:07:00,24,hour,1.0082,1.0033,20.0
48,,00:00:00,40,sec,1.0067,1.0030,22.0
48,,00:00:00,40,sec,1.0066,,
48,,10:45:00,40,sec,1.0065,,
48,,10:47:00,2,min,1.0063,,
48,,10:50:00,5,min,1.0062,1.0030,22.0
48,,11:00:00,15,min,1.0059,,
48,,11:15:00,30,min,1.0059,,
48,,11:45:00,60,min,1.0059,1.0030,21.0
48,,12:45:00,2,hour,1.0059,1.0030,20.8
48,,16:45:00,6,hour,1.0056,1.0030,20.0
48,,10:45:00,24,hour,1.0051,1.0030,20.0
49,,00:00:00,40,sec,1.0174,1.0030,22.0
49,,00:00:00,40,sec,1.0171,,
49,,10:33:00,40,sec,1.0169,,
49,,10:35:00,2,min,1.0152,,
49,,10:38:00,5,min,1.0149,1.0030,21.0
49,,10:48:00,15,min,1.0137,,
49,,11:03:00,30,min,1.0123,,
49,,11:33:00,60,min,1.0118,1.0030,21.0
49,,12:33:00,2,hour,1.0115,1.0030,20.8
49,,16:33:00,6,hour,1.0101,1.0035,20.0
49,,10:33:00,24,hour,1.0090,1.0035,20.0
50,7/27/16,00:00:00,40,sec,1.0130,1.0019,22.8
50,7/27/16,00:00:00,40,sec,1.0120,,
50,7/27/16,10:05:00,40,sec,1.0125,,
50,7/27/16,10:06:00,2,min,1.0115,,
50,7/27/16,10:09:00,5,min,1.0013,1.0022,22.9
50,7/27/16,10:19:00,15,min,1.0010,,
50,7/27/16,10:34:00,30,min,1.0089,,
50,7/27/16,11:04:00,60,min,1.0083,1.0027,22.5
50,7/27/16,12:04:00,2,hour,1.0082,1.0030,22.0
50,7/27/16,16:04:00,6,hour,1.0080,1.0031,21.9
50,7/28/16,10:04:00,24,hour,1.0068,1.0032,21.9
51,7/27/16,00:00:00,40,sec,1.0118,1.0028,22.4
51,7/27/16,00:00:00,40,sec,1.0112,,
51,7/27/16,10:34:00,40,sec,1.0105,,
51,7/27/16,10:35:00,2,min,1.0103,,
51,7/27/16,10:38:00,5,min,1.0100,1.0030,22.3
51,7/27/16,10:48:00,15,min,1.0094,,
51,7/27/16,11:03:00,30,min,1.0090,,
51,7/27/16,11:33:00,60,min,1.0088,1.0028,22.0
51,7/27/16,12:33:00,2,hour,1.0085,1.0030,21.9
51,7/27/16,16:33:00,6,hour,1.0081,1.0031,21.8
51,7/28/16,10:34:00,24,hour,1.0081,1.0032,21.3
52,7/27/16,00:00:00,40,sec,1.0130,1.0030,22.8
52,7/27/16,00:00:00,40,sec,1.0120,,
52,7/27/16,10:21:00,40,sec,1.0120,,
52,7/27/16,10:22:00,2,min,1.0100,,
52,7/27/16,10:25:00,5,min,1.0086,1.0030,22.5
52,7/27/16,10:35:00,15,min,1.0084,,
52,7/27/16,10:40:00,30,min,1.0081,,
52,7/27/16,11:20:00,60,min,1.0078,1.0033,22.3
52,7/27/16,12:20:00,2,hour,1.0078,1.0032,21.9
52,7/27/16,16:20:00,6,hour,1.0072,1.0036,21.8
52,7/28/16,10:20:00,24,hour,1.0069,1.0039,21.0
53,,00:00:00,40,sec,1.0125,1.0013,23.0
53,,00:00:00,40,sec,1.0128,,
53,,10:14:00,40,sec,1.0125,,
53,,10:16:00,2,min,1.0121,,
53,,10:19:00,5,min,1.0112,1.0013,22.5
53,,10:29:00,15,min,1.1015,,
53,,10:44:00,30,min,1.0100,,
53,,11:14:00,60,min,1.0096,1.0016,22.0
53,,12:14:00,2,hour,1.0088,1.0020,21.5
53,,16:14:00,6,hour,1.0085,1.0023,21.4
53,,10:14:00,24,hour,1.0080,1.0024,20.8
54,,00:00:00,40,sec,1.0100,1.0013,22.9
54,,00:00:00,40,sec,1.0095,,
54,,10:29:00,40,sec,1.0096,,
54,,10:31:00,2,min,1.0090,,
54,,10:34:00,5,min,1.0082,1.0014,22.0
54,,10:44:00,15,min,1.0072,,
54,,10:59:00,30,min,1.0068,,
54,,11:29:00,60,min,1.0062,1.0014,21.7
54,,12:29:00,2,hour,1.0060,1.0014,21.0
54,,16:29:00,6,hour,1.0070,1.0020,21.0
54,,10:29:00,24,hour,1.0062,1.0023,21.0
55,,00:00:00,40,sec,1.0132,1.0014,22.3
55,,00:00:00,40,sec,1.0133,,
55,,10:47:00,40,sec,1.0130,,
55,,10:49:00,2,min,1.0122,,
55,,10:52:00,5,min,1.0117,1.0019,22.0
55,,11:02:00,15,min,1.0106,,
55,,11:17:00,30,min,1.0100,,
55,,11:47:00,60,min,1.0096,1.0019,21.5
55,,12:47:00,2,hour,1.0094,1.0019,21.5
55,,16:47:00,6,hour,1.0090,1.0020,21.0
55,,10:47:00,24,hour,1.0080,1.0020,20.8
56,7/15/16,00:00:00,40,sec,1.0168,1.0025,22.0
56,7/15/16,00:00:00,40,sec,1.0170,,
56,7/15/16,10:11:00,40,sec,1.0170,,
56,7/15/16,10:12:00,2,min,1.0160,,
56,7/15/16,10:15:00,5,min,1.0145,1.0028,20.5
56,7/15/16,10:25:00,15,min,1.0141,,
56,7/15/16,10:40:00,30,min,1.0132,,
56,7/15/16,11:10:00,60,min,1.0119,1.0030,20.1
56,7/15/16,12:10:00,2,hour,1.0110,1.0031,20.0
56,7/15/16,16:10:00,6,hour,1.0101,1.0035,20.2
56,7/16/16,10:10:00,24,hour,1.0090,1.0040,20.0
57,7/15/16,00:00:00,40,sec,1.0217,1.0028,21.0
57,7/15/16,00:00:00,40,sec,1.0216,,
57,7/15/16,10:29:00,40,sec,1.0213,,
57,7/15/16,10:30:00,2,min,1.0208,,
57,7/15/16,10:33:00,5,min,1.0187,1.0028,20.9
57,7/15/16,10:43:00,15,min,1.0171,,
57,7/15/16,10:58:00,30,min,1.0162,,
57,7/15/16,11:28:00,60,min,1.0155,1.0031,20.2
57,7/15/16,12:28:00,2,hour,1.0150,1.0031,20.0
57,7/15/16,16:28:00,6,hour,1.0140,1.0032,20.3
57,7/16/16,10:28:00,24,hour,1.0130,1.0040,20.0
58,7/15/16,00:00:00,40,sec,1.0169,1.0032,20.8
58,7/15/16,00:00:00,40,sec,1.0160,,
58,7/15/16,10:55:00,40,sec,1.0155,,
58,7/15/16,10:56:00,2,min,1.0135,,
58,7/15/16,10:59:00,5,min,1.0141,1.0030,20.5
58,7/15/16,11:14:00,20,min,1.0120,,
58,7/15/16,11:24:00,30,min,1.0110,,
58,7/15/16,11:54:00,60,min,1.0111,1.0032,20.2
58,7/15/16,12:54:00,2,hour,1.0102,1.0034,20.1
58,7/15/16,16:54:00,6,hour,1.0095,1.0036,20.3
58,7/16/16,10:54:00,24,hour,1.0085,1.0040,20.1
59,7/18/16,10:26:00,40,sec,1.0215,,
59,7/18/16,10:27:00,2,min,1.0195,,
59,7/18/16,10:30:00,5,min,1.0192,1.0027,21.5
59,7/18/16,10:40:00,15,min,1.0174,,
59,7/18/16,10:55:00,30,min,1.0166,,
59,7/18/16,11:25:00,60,min,1.0159,1.0030,20.0
59,7/18/16,12:25:00,2,hour,1.0150,1.0031,20.0
59,7/18/16,16:25:00,6,hour,1.0139,1.0030,20.0
59,7/19/16,10:25:00,24,hour,1.0121,1.0030,19.0
60,,00:00:00,40,sec,1.0212,1.0019,21.1
60,,00:00:00,40,sec,1.0214,,
60,,09:41:00,40,sec,1.0213,,
60,,09:42:00,2,min,1.0197,,
60,,09:45:00,5,min,1.0185,1.0020,21.0
60,,09:55:00,15,min,1.0170,,
60,,10:10:00,30,min,1.0160,,
60,,10:40:00,60,min,1.0151,1.0028,20.1
60,,11:40:00,2,hour,1.0141,1.0030,20.0
60,,15:40:00,6,hour,1.0136,1.0030,20.0
60,,09:40:00,24,hour,1.0124,1.0040,19.0
61,,00:00:00,40,sec,1.0171,1.0035,22.0
61,,00:00:00,40,sec,1.0169,,
61,,10:08:00,40,sec,1.0168,,
61,,10:10:00,2,min,1.0157,,
61,,10:13:00,5,min,1.0143,1.0040,22.0
61,,10:23:00,15,min,1.0130,,
